name,pulse_rate,firing_rate,Irr0/Irr0_thres,rho_rel
MCHH_Markov,0.2440316822846853,0.685016323314187,1.4,1.0
MCHH_Markov,97.3337795626952,97.07700101317123,1.4,1.0
MCHH_Markov,105.70058009817045,101.65034335247103,1.4,1.0
MCHH_Markov,114.93892235609103,103.9370145221209,1.4,1.0
MCHH_Markov,122.60848951361,104.64060565124396,1.4,1.0
MCHH_Markov,134.28714859437753,104.64060565124396,1.4,1.0
MCHH_Markov,139.86501561802766,104.81650343352472,1.4,1.0
MCHH_Markov,147.36027443105758,106.39958347405157,1.4,1.0
MCHH_Markov,162.0021753681392,109.56574355510526,1.4,1.0
MCHH_Markov,169.84605087014722,110.44523246650907,1.4,1.0
MCHH_Markov,176.8183846497099,110.62113024878983,1.4,1.0
MCHH_Markov,181.17609326193661,110.97292581335135,1.4,1.0
MCHH_Markov,191.11166889781344,113.08369920072047,1.4,1.0
MCHH_Markov,199.30416108879967,114.66677924124733,1.4,1.0
MCHH_Markov,0.5926483712628183,0.8609141055949578,1.2,1.0
MCHH_Markov,90.71006247211064,90.21698750422155,1.2,1.0
MCHH_Markov,99.77409638554217,94.0867387143983,1.2,1.0
MCHH_Markov,119.47093931280678,97.95648992457504,1.2,1.0
MCHH_Markov,130.45236501561806,98.30828548913655,1.2,1.0
MCHH_Markov,150.14920794288264,102.00213891703254,1.2,1.0
MCHH_Markov,159.38755020080322,105.69599234492853,1.2,1.0
MCHH_Markov,170.54328424810353,106.04778790949004,1.2,1.0
MCHH_Markov,189.3685854529228,109.91753911966678,1.2,1.0
MCHH_Markov,199.65277777777777,110.09343690194754,1.2,1.0
MCHH_Markov,0.7669567157518813,0.15732297647190308,1.0,1.0
MCHH_Markov,10.702532351628733,0.5091185410334447,1.0,1.0
MCHH_Markov,25.518741633199454,3.323483057525607,1.0,1.0
MCHH_Markov,31.445225345827737,5.258358662614,1.0,1.0
MCHH_Markov,39.463409192324846,9.655803219633015,1.0,1.0
MCHH_Markov,46.61005131637661,16.339918946301935,1.0,1.0
MCHH_Markov,50.09621820615796,20.209670156478666,1.0,1.0
MCHH_Markov,57.068551985720646,36.392266126308684,1.0,1.0
MCHH_Markov,59.85748549754574,43.955870764381416,1.0,1.0
MCHH_Markov,70.1416778224007,58.027693346842284,1.0,1.0
MCHH_Markov,87.74682061579652,74.56208488123383,1.0,1.0
MCHH_Markov,100.12271307452029,82.12568951930655,1.0,1.0
MCHH_Markov,113.71876394466754,84.94005403579871,1.0,1.0
MCHH_Markov,120.16817269076303,86.52313407632556,1.0,1.0
MCHH_Markov,130.45236501561806,90.21698750422155,1.0,1.0
MCHH_Markov,139.1677822400714,91.97596532702917,1.0,1.0
MCHH_Markov,150.67213297634987,96.54930766632894,1.0,1.0
MCHH_Markov,156.07569165551092,97.07700101317123,1.0,1.0
MCHH_Markov,176.6440763052209,101.29854778790948,1.0,1.0
MCHH_Markov,199.82708612226685,105.87189012720928,1.0,1.0
MCHH_Markov,0.18040727560301661,0.06011857180919833,1.2,1.5
MCHH_Markov,89.76621194147889,89.98817612576605,1.2,1.5
MCHH_Markov,100.37234743640441,100.29243272049027,1.2,1.5
MCHH_Markov,110.46362198497432,105.18435251798559,1.2,1.5
MCHH_Markov,110.46362198497432,105.18435251798559,1.2,1.5
MCHH_Markov,119.7311190193753,106.01701971755926,1.2,1.5
MCHH_Markov,129.2045604323185,104.1435185185185,1.2,1.5
MCHH_Markov,178.32229471464353,113.71919131361574,1.2,1.5
MCHH_Markov,190.78192961644925,114.44777511324273,1.2,1.5
MCHH_Markov,200.0494266508502,116.00902611244337,1.2,1.5
MCHH_Markov,0.07743508633190288,0.06011857180919833,1.2,1
MCHH_Markov,90.2810728878345,89.98817612576605,1.2,1
MCHH_Markov,99.8574864900488,93.943345323741,1.2,1
MCHH_Markov,120.14300777645975,97.89851452171592,1.2,1
MCHH_Markov,130.64617108211417,98.10668132160936,1.2,1
MCHH_Markov,150.31385923289844,101.85368371969088,1.2,1
MCHH_Markov,160.1991894029261,106.32926991739942,1.2,1
MCHH_Markov,169.87857519441155,106.01701971755926,1.2,1
MCHH_Markov,189.64923553446692,110.18035571542765,1.2,1
MCHH_Markov,199.84348227230794,109.8681055155875,1.2,1
MCHH_Markov,0.48932384341637913,0.06011857180919833,1.2,0.75
MCHH_Markov,20.36295637274287,20.148214761524116,1.2,0.75
MCHH_Markov,29.527481217872705,21.605382360778037,1.2,0.75
MCHH_Markov,37.147423223935704,27.329969357847034,1.2,0.75
MCHH_Markov,46.826809015421134,38.2587263522515,1.2,0.75
MCHH_Markov,54.03486226439966,48.04256594724217,1.2,0.75
MCHH_Markov,60.11022143139584,58.03457234212627,1.2,0.75
MCHH_Markov,70.81932911559248,68.33882893685049,1.2,0.75
MCHH_Markov,91.92862791617243,84.78400612843058,1.2,0.75
MCHH_Markov,99.75451430077767,87.90650812683185,1.2,0.75
MCHH_Markov,109.33092790299197,89.6759259259259,1.2,0.75
MCHH_Markov,119.62814683010414,91.75759392486009,1.2,0.75
MCHH_Markov,131.46994859628313,91.86167732480678,1.2,0.75
MCHH_Markov,138.98691841307505,93.42292832400744,1.2,0.75
MCHH_Markov,150.10791485435618,98.31484812150279,1.2,0.75
MCHH_Markov,161.33188348490842,98.00259792166267,1.2,0.75
MCHH_Markov,170.0845195729538,99.8760991207034,1.2,0.75
MCHH_Markov,179.8668775537103,104.1435185185185,1.2,0.75
MCHH_Markov,190.16409648082248,106.32926991739942,1.2,0.75
MCHH_Markov,199.63753789376568,105.91293631761255,1.2,0.75
